,name,price
0,"

پمپ کولر اصلی موتورژن تبریز پمپ آب کولر سیم پیچ مس

","۶۰۰,۰۰۰"
1,"

پمپ کولر مکانیکی (بدون برق) آدرال

","۵۲۰,۰۰۰"
2,"

پمپ آب کولر موتوژن به همراه سبد محافظ پمپ و روغن مخصوص کولر آبی کد 1403

","۸۴۴,۵۰۰"
3,"

پمپ آب کولر برند تکسان 130 وات

","۱,۶۵۳,۱۰۰"
4,"

پمپ کولر موتوژن مدل SH303 سیم آلومینیومی

","۶۷۵,۰۰۰"
5,"

پمپ آب کولر الکتروژن مدل 31402

","۱,۲۳۹,۵۰۰"
6,"

پمپ کولر آبی موتوژن Motogen PH-1 SH300 45W

","۵۶۵,۰۰۰"
7,"

پمپ درین آب کولر ولیو مدل M1

","۱,۹۰۰,۰۰۰"
8,"

پمپ درین(تخلیه آب) توکار ولیو s2

","۲,۹۵۰,۰۰۰"
9,"

پمپ کولر مکانیکی (بدون برق) آدرال

","۵۲۰,۰۰۰"
10,"

پمپ کولر اصلی موتورژن تبریز پمپ آب کولر سیم پیچ مس

","۶۰۰,۰۰۰"
11,"

موتورژن ۴۵۰۰ دینام کولر آبی متورژن پمپ آب

","۵,۰۰۰,۰۰۰"
12,"

پمپ کولر آبی مگاژن بیهق مدل Aras

","۳۲۰,۰۰۰"
13,"

موتورژن ۴۵۰۰ دینام کولر آبی متورژن پمپ آب

","۵,۰۰۰,۰۰۰"
14,"

پمپ کولر آبی تکنوژن مدل B

","۳۰۰,۰۰۰"
15,"

پمپ آب کولر موتوژن مدل sh303

","۸۹۹,۵۰۰"
16,"

پمپ آب کولر شیراز سیم پیچی مس

","۳۰۰,۰۰۰"
17,"

پمپ آب کولر آبی نصر مدل NA01

","۳۱۲,۰۰۰"
18,"

پمپ آب کولر آبشار مدل SH-200

","۲۹۷,۰۰۰"
19,"

پمپ آب کولر پارس ژن

","۴۲۰,۰۰۰"
20,"

پمپ آب کولر مگاژن بیهق مدل Radin

","۳۲۰,۰۰۰"
21,"

پمپ آب کولر الکتروژن مدل سهند

","۸۹۰,۰۰۰"
22,"

پمپ کولر آبی موتوژن مدل P

","۵۶۹,۵۰۰"
23,"

پمپ آب کولر ساحل SAHEL مدل SH200

","۳۴۵,۰۰۰"
24,"

پمپ موتوژن کولر 

","۵۵۰,۰۰۰"
25,"

پمپ آب کولر شیراز صنعت

","۴۱۰,۰۰۰"
26,"

سبد پمپ کولر محافظ پمپ کولر

","۵۰,۰۰۰"
27,"

پمپ کولر سرماژن 

","۳۴۰,۰۰۰"
28,"

پمپ آب کولر الکتروژن مدل سهند

","۸۹۰,۰۰۰"
29,"

پمپ آب کولر مدل saeco

","۹۹۵,۵۰۰"
30,"

3راهی پمپ کولرآبی

","۸,۰۰۰"
31,"

پمپ آب کولری موتوژن مدل SH303

","۵۲۴,۵۰۰"
32,"

پمپ کولر آبی الکتروژن مدل Y1

","۵۴۲,۵۰۰"
33,"

پمپ آب کولر آبی شیراز صنعت مدل 02

","۴۹۵,۰۰۰"
34,"

پمپ کولر آبی الکتروژن مدل Y1

","۵۴۵,۰۰۰"
35,"

پمپ آب کولر الکتروژن مدل EL-31400

","۵۲۹,۵۰۰"
36,"

پمپ درین M2 برند value

","۲,۵۰۰,۰۰۰"
37,"

پمپ درین ویپکول PC-50A

","۳,۶۰۰,۰۰۰"
38,"

پمپ آب الکتروژن مدل سبلان

","۴۷۰,۰۰۰"
39,"

پمپ کولر آبی مدل باران کد 110

","۴۲۰,۰۰۰"
